name,industry,sector,website
Clorox,Household and Personal Products,Household Products,http://www.thecloroxcompany.com
Domtar,Forest and Paper Products,Materials,http://www.domtar.com
Kelly Services,Temporary Help,Business Services,http://www.kellyservices.com
Old Republic International,Insurance: Property and Casualty (Stock),Financials,http://www.oldrepublic.com
Advanced Micro Devices,Semiconductors and Other Electronic Components,Technology,http://www.amd.com
Netflix,Specialty Retailers: Other,Retailing,http://www.netflix.com
Booz Allen Hamilton Holding,Information Technology Services,Technology,http://www.boozallen.com
Quintiles Transnational Holdings,Health Care: Pharmacy and Other Services,Health Care,http://www.quintiles.com
Wynn Resorts,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure",http://www.wynnresorts.com
Jones Lang LaSalle,Real estate,Financials,http://www.jll.com
Regions Financial,Commercial Banks,Financials,http://www.regions.com
CH2M Hill,"Engineering, Construction",Engineering & Construction,http://www.ch2m.com
Western & Southern Financial Group,"Insurance: Life, Health (Mutual)",Financials,http://www.westernsouthern.com
Lithia Motors,"Automotive Retailing, Services",Retailing,http://www.lithia.com
salesforce.com,Computer Software,Technology,http://www.salesforce.com
Alaska Air Group,Airlines,Transportation,http://www.alaskaair.com
Host Hotels & Resorts,Real estate,Financials,http://www.hosthotels.com
Harman International Industries,"Electronics, Electrical Equip.",Industrials,http://www.harman.com
Amphenol,Network and Other Communications Equipment,Technology,http://www.amphenol.com
Realogy Holdings,Real estate,Financials,http://www.realogy.com
Essendant,Wholesalers: Electronics and Office Equipment,Wholesalers,http://www.essendant.com
Hanesbrands,Apparel,Apparel,http://www.hanes.com
Kindred Healthcare,Health Care: Medical Facilities,Health Care,http://www.kindredhealthcare.com
ARRIS Group,Network and Other Communications Equipment,Technology,http://www.arris.com
Insight Enterprises,Wholesalers: Electronics and Office Equipment,Wholesalers,http://www.insight.com
Alliance Data Systems,Financial Data Services,Business Services,http://www.alliancedata.com
LifePoint Health,Health Care: Medical Facilities,Health Care,http://www.lifepointhealth.net
Pioneer Natural Resources,"Mining, Crude-Oil Production",Energy,http://www.pxd.com
Wyndham Worldwide,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure",http://www.wyndhamworldwide.com
Owens Corning,"Building Materials, Glass",Materials,http://www.owenscorning.com
Alleghany,Insurance: Property and Casualty (Stock),Financials,http://www.alleghany.com
McGraw Hill Financial,Financial Data Services,Business Services,http://www.mhfi.com
Big Lots,Specialty Retailers: Other,Retailing,http://www.biglots.com
Northern Tier Energy,Petroleum Refining,Energy,http://www.ntenergy.com
Hexion,Chemicals,Chemicals,http://www.hexion.com
Markel,Insurance: Property and Casualty (Stock),Financials,http://www.markelcorp.com
Noble Energy,"Mining, Crude-Oil Production",Energy,http://www.nobleenergyinc.com
Leidos Holdings,Information Technology Services,Technology,http://www.leidos.com
Rockwell Collins,Aerospace and Defense,Aerospace & Defense,http://www.rockwellcollins.com
Airgas,Wholesalers: Diversified,Wholesalers,http://www.airgas.com
Sprague Resources,Wholesalers: Diversified,Wholesalers,http://www.spragueenergy.com
YRC Worldwide,"Trucking, Truck Leasing",Transportation,http://www.yrcw.com
Hanover Insurance Group,Insurance: Property and Casualty (Stock),Financials,http://www.hanover.com
Fiserv,Financial Data Services,Business Services,http://www.fiserv.com
Lorillard,Tobacco,"Food, Beverages & Tobacco",www.reynoldsamerican.com
American Tire Distributors Holdings,Wholesalers: Diversified,Wholesalers,http://www.atd-us.com
ABM Industries,Diversified Outsourcing Services,Business Services,http://www.abm.com
Sonoco Products,"Packaging, Containers",Materials,http://www.sonoco.com
Harris,Network and Other Communications Equipment,Technology,http://www.harris.com
Telephone & Data Systems,Telecommunications,Telecommunications,http://www.tdsinc.com
WEC Energy Group,Utilities: Gas and Electric,Energy,www.wecenergygroup.com
Linn Energy,"Mining, Crude-Oil Production",Energy,http://www.linnenergy.com
Raymond James Financial,Securities,Financials,http://www.raymondjames.com
Berry Plastics Group,"Packaging, Containers",Materials,http://www.berryplastics.com
Regency Energy Partners,"Oil and Gas Equipment, Services",Energy,http://www.regencygasservices.com
SCANA,Utilities: Gas and Electric,Energy,http://www.scana.com
Cincinnati Financial,Insurance: Property and Casualty (Stock),Financials,http://www.cinfin.com
Atmos Energy,Utilities: Gas and Electric,Energy,http://www.atmosenergy.com
Pepco Holdings,Utilities: Gas and Electric,Energy,http://www.pepcoholdings.com
Flowserve,Industrial Machinery,Industrials,http://www.flowserve.com
Simon Property Group,Real estate,Financials,http://www.simon.com
Constellation Brands,Beverages,"Food, Beverages & Tobacco",http://www.cbrands.com
Quad/Graphics,"Publishing, Printing",Media,http://www.qg.com
Burlington Stores,Specialty Retailers: Apparel,Retailing,http://www.burlingtonstores.com
Neiman Marcus Group,Specialty Retailers: Apparel,Retailing,http://www.neimanmarcusgroup.com
Bemis,"Packaging, Containers",Materials,http://www.bemis.com
Coach,Apparel,Apparel,http://www.coach.com
Continental Resources,"Mining, Crude-Oil Production",Energy,http://www.clr.com
Ascena Retail Group,Specialty Retailers: Apparel,Retailing,http://www.ascenaretail.com
Zoetis,Pharmaceuticals,Health Care,http://www.zoetis.com
